tag_id	sent_id	tag type	morphemes	type	subjectivity-type	subjectivity-polarity	polarity	intensity	nested-source	target	comment	confident	raw-sentence	sentence-morph
9852	1493	ObjTag										TRUE	1993-12-22	1993/SN#41553; //SP#41554; 12/SN#41555; //SP#41556; 22/SN#41557
9853	1494	ObjTag										TRUE	19	19/SN#41558
9854	1495	ObjTag										TRUE	어린이 3백만 매년 `폐렴사망'	어린이/NNG#41559; 3/SN#41560; 백만/NR#41561; 매년/NNG#41562; `/SS#41563; 폐렴/NNG#41564; 사망/NNG#41565; '/SS#41566
9875	1495	Seed	폐렴/NNG#41564; 사망/NNG#41565	indirect	Judgment	NEG	NEG	High		어린이/NNG#41559; 3/SN#41560; 백만/NR#41561		TRUE	어린이 3백만 매년 `폐렴사망'	어린이/NNG#41559; 3/SN#41560; 백만/NR#41561; 매년/NNG#41562; `/SS#41563; 폐렴/NNG#41564; 사망/NNG#41565; '/SS#41566
9855	1496	SubjTag					NEUT	Medium				TRUE	설사병도 비슷…	설사병/NNG#41567; 도/JX#41568; 비슷/XR#41569; …/SE#41570
9876	1496	Seed	비슷/XR#41569	dir-explicit	Judgment	NEG	NEG	Medium		설사병/NNG#41567		TRUE	설사병도 비슷…	설사병/NNG#41567; 도/JX#41568; 비슷/XR#41569; …/SE#41570
9856	1497	SubjTag					POS	Medium				TRUE	소아마비 95년 박멸될듯 /	소아마비/NNG#41571; 95/SN#41572; 년/NNB#41573; 박멸/NNG#41574; 되/XSV#41575; ㄹ/ETM#41576; 듯/NNB#41577; //SP#41578
9877	1497	Seed	ㄹ/ETM#41576; 듯/NNB#41577	writing-device	Speculation	POS	None	None				TRUE	소아마비 95년 박멸될듯 /	소아마비/NNG#41571; 95/SN#41572; 년/NNB#41573; 박멸/NNG#41574; 되/XSV#41575; ㄹ/ETM#41576; 듯/NNB#41577; //SP#41578
9878	1497	Seed	소아마비/NNG#41571	indirect	Judgment	NEG	NEG	High	Imp			TRUE	소아마비 95년 박멸될듯 /	소아마비/NNG#41571; 95/SN#41572; 년/NNB#41573; 박멸/NNG#41574; 되/XSV#41575; ㄹ/ETM#41576; 듯/NNB#41577; //SP#41578
10220	1497	Seed	박멸/NNG#41574; 되/XSV#41575	dir-explicit	Judgment	POS	POS	Medium		소아마비/NNG#41571	new	TRUE	소아마비 95년 박멸될듯 /	소아마비/NNG#41571; 95/SN#41572; 년/NNB#41573; 박멸/NNG#41574; 되/XSV#41575; ㄹ/ETM#41576; 듯/NNB#41577; //SP#41578
9857	1498	SubjTag					NEG	High				TRUE	아프리카 에이즈-미국 마약 중독등 심각 /	아프리카/NNP#41579; 에이즈/NNG#41580; -/SS#41581; 미국/NNP#41582; 마약/NNG#41583; 중독/NNG#41584; 등/NNB#41585; 심각/XR#41586; //SP#41587
9879	1498	Seed	에이즈/NNG#41580	indirect	Judgment	NEG	NEG	High	Imp	아프리카/NNP#41579		TRUE	아프리카 에이즈-미국 마약 중독등 심각 /	아프리카/NNP#41579; 에이즈/NNG#41580; -/SS#41581; 미국/NNP#41582; 마약/NNG#41583; 중독/NNG#41584; 등/NNB#41585; 심각/XR#41586; //SP#41587
