tag_id	sent_id	tag type	morphemes	type	subjectivity-type	subjectivity-polarity	polarity	intensity	nested-source	target	comment	confident	raw-sentence	sentence-morph
16410	1863	ObjTag										TRUE	1991-04-05	1991/SN#53202; //SP#53203; 04/SN#53204; //SP#53205; 05/SN#53206
16411	1864	ObjTag										TRUE	23	23/SN#53207
16412	1865	ObjTag										TRUE	통일동 백송 /	통일동/NNP#53208; 백송/NNG#53209; //SP#53210
16408	1866	Seed	안타깝/VA#53230	indirect	Emotion	NEG	NEG	Medium	Imp	`/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228		TRUE	"주민 정성에 ""새싹"" (식목일 화제) `완전 회생' 속단못해 안타까움"	"주민/NNG#53211; 정성/NNG#53212; 에/JKB#53213; ""/SS#53214; 새/MM#53215; 싹/NNG#53216; ""/SS#53217; (/SS#53218; 식목일/NNG#53219; 화제/NNG#53220; )/SS#53221; `/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228; 아/EC#53229; 안타깝/VA#53230; ㅁ/ETN#53231"
16409	1866	ObjTag										TRUE	"주민 정성에 ""새싹"" (식목일 화제) `완전 회생' 속단못해 안타까움"	"주민/NNG#53211; 정성/NNG#53212; 에/JKB#53213; ""/SS#53214; 새/MM#53215; 싹/NNG#53216; ""/SS#53217; (/SS#53218; 식목일/NNG#53219; 화제/NNG#53220; )/SS#53221; `/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228; 아/EC#53229; 안타깝/VA#53230; ㅁ/ETN#53231"
16413	1866	Seed	속단/NNG#53226; 못/MAG#53227; 하/VV#53228	indirect	Speculation	NEG	NEG	Medium	Imp	`/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225		TRUE	"주민 정성에 ""새싹"" (식목일 화제) `완전 회생' 속단못해 안타까움"	"주민/NNG#53211; 정성/NNG#53212; 에/JKB#53213; ""/SS#53214; 새/MM#53215; 싹/NNG#53216; ""/SS#53217; (/SS#53218; 식목일/NNG#53219; 화제/NNG#53220; )/SS#53221; `/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228; 아/EC#53229; 안타깝/VA#53230; ㅁ/ETN#53231"
17144	1866	Seed	정성/NNG#53212	indirect	Intention	POS	POS	Medium	주민/NNG#53211			TRUE	"주민 정성에 ""새싹"" (식목일 화제) `완전 회생' 속단못해 안타까움"	"주민/NNG#53211; 정성/NNG#53212; 에/JKB#53213; ""/SS#53214; 새/MM#53215; 싹/NNG#53216; ""/SS#53217; (/SS#53218; 식목일/NNG#53219; 화제/NNG#53220; )/SS#53221; `/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228; 아/EC#53229; 안타깝/VA#53230; ㅁ/ETN#53231"
17193	1866	Seed	화제/NNG#53220	dir-explicit	Judgment	POS	POS	High	Imp			TRUE	"주민 정성에 ""새싹"" (식목일 화제) `완전 회생' 속단못해 안타까움"	"주민/NNG#53211; 정성/NNG#53212; 에/JKB#53213; ""/SS#53214; 새/MM#53215; 싹/NNG#53216; ""/SS#53217; (/SS#53218; 식목일/NNG#53219; 화제/NNG#53220; )/SS#53221; `/SS#53222; 완전/NNG#53223; 회생/NNG#53224; '/SS#53225; 속단/NNG#53226; 못/MAG#53227; 하/VV#53228; 아/EC#53229; 안타깝/VA#53230; ㅁ/ETN#53231"
16414	1867	Seed	안타깝/VA#53264	indirect	Emotion	NEG	NEG	Medium		주민/NNG#53261; 들/XSN#53262; 의/JKG#53263; 노력/NNG#53266		TRUE	작년 7월 수해 때 밑동이 뽑혀 쓰러진 서울 종로구 통의동 6백살짜리 백송(천연기념물 4호)을 살리기 위한 주민들의 안타까운 노력이 8 개월째 계속되고 있다.	작년/NNG#53232; 7/SN#53233; 월/NNB#53234; 수해/NNG#53235; 때/NNG#53236; 밑동/NNG#53237; 이/JKS#53238; 뽑히/VV#53239; 어/EC#53240; 쓰러지/VV#53241; ㄴ/ETM#53242; 서울/NNP#53243; 종로구/NNP#53244; 통의동/NNP#53245; 6/SN#53246; 백/NR#53247; 살/NNB#53248; 짜리/XSN#53249; 백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257; 기/ETN#53258; 위하/VV#53259; ㄴ/ETM#53260; 주민/NNG#53261; 들/XSN#53262; 의/JKG#53263; 안타깝/VA#53264; 은/ETM#53265; 노력/NNG#53266; 이/JKS#53267; 8/SN#53268; 개월/NNB#53269; 째/XSN#53270; 계속/NNG#53271; 되/XSV#53272; 고/EC#53273; 있/VX#53274; 다/EF#53275; ./SF#53276
16415	1867	ObjTag										FALSE	작년 7월 수해 때 밑동이 뽑혀 쓰러진 서울 종로구 통의동 6백살짜리 백송(천연기념물 4호)을 살리기 위한 주민들의 안타까운 노력이 8 개월째 계속되고 있다.	작년/NNG#53232; 7/SN#53233; 월/NNB#53234; 수해/NNG#53235; 때/NNG#53236; 밑동/NNG#53237; 이/JKS#53238; 뽑히/VV#53239; 어/EC#53240; 쓰러지/VV#53241; ㄴ/ETM#53242; 서울/NNP#53243; 종로구/NNP#53244; 통의동/NNP#53245; 6/SN#53246; 백/NR#53247; 살/NNB#53248; 짜리/XSN#53249; 백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257; 기/ETN#53258; 위하/VV#53259; ㄴ/ETM#53260; 주민/NNG#53261; 들/XSN#53262; 의/JKG#53263; 안타깝/VA#53264; 은/ETM#53265; 노력/NNG#53266; 이/JKS#53267; 8/SN#53268; 개월/NNB#53269; 째/XSN#53270; 계속/NNG#53271; 되/XSV#53272; 고/EC#53273; 있/VX#53274; 다/EF#53275; ./SF#53276
17145	1867	Seed	기/ETN#53258; 위하/VV#53259	indirect	Intention	POS	POS	Medium	주민/NNG#53261; 들/XSN#53262	백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257		TRUE	작년 7월 수해 때 밑동이 뽑혀 쓰러진 서울 종로구 통의동 6백살짜리 백송(천연기념물 4호)을 살리기 위한 주민들의 안타까운 노력이 8 개월째 계속되고 있다.	작년/NNG#53232; 7/SN#53233; 월/NNB#53234; 수해/NNG#53235; 때/NNG#53236; 밑동/NNG#53237; 이/JKS#53238; 뽑히/VV#53239; 어/EC#53240; 쓰러지/VV#53241; ㄴ/ETM#53242; 서울/NNP#53243; 종로구/NNP#53244; 통의동/NNP#53245; 6/SN#53246; 백/NR#53247; 살/NNB#53248; 짜리/XSN#53249; 백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257; 기/ETN#53258; 위하/VV#53259; ㄴ/ETM#53260; 주민/NNG#53261; 들/XSN#53262; 의/JKG#53263; 안타깝/VA#53264; 은/ETM#53265; 노력/NNG#53266; 이/JKS#53267; 8/SN#53268; 개월/NNB#53269; 째/XSN#53270; 계속/NNG#53271; 되/XSV#53272; 고/EC#53273; 있/VX#53274; 다/EF#53275; ./SF#53276
17194	1867	Seed	노력/NNG#53266	indirect	Intention	POS	POS	High	주민/NNG#53261	6/SN#53246; 백/NR#53247; 살/NNB#53248; 짜리/XSN#53249; 백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257		TRUE	작년 7월 수해 때 밑동이 뽑혀 쓰러진 서울 종로구 통의동 6백살짜리 백송(천연기념물 4호)을 살리기 위한 주민들의 안타까운 노력이 8 개월째 계속되고 있다.	작년/NNG#53232; 7/SN#53233; 월/NNB#53234; 수해/NNG#53235; 때/NNG#53236; 밑동/NNG#53237; 이/JKS#53238; 뽑히/VV#53239; 어/EC#53240; 쓰러지/VV#53241; ㄴ/ETM#53242; 서울/NNP#53243; 종로구/NNP#53244; 통의동/NNP#53245; 6/SN#53246; 백/NR#53247; 살/NNB#53248; 짜리/XSN#53249; 백송/NNG#53250; (/SS#53251; 천연기념물/NNG#53252; 4/SN#53253; 호/NNB#53254; )/SS#53255; 을/JKO#53256; 살리/VV#53257; 기/ETN#53258; 위하/VV#53259; ㄴ/ETM#53260; 주민/NNG#53261; 들/XSN#53262; 의/JKG#53263; 안타깝/VA#53264; 은/ETM#53265; 노력/NNG#53266; 이/JKS#53267; 8/SN#53268; 개월/NNB#53269; 째/XSN#53270; 계속/NNG#53271; 되/XSV#53272; 고/EC#53273; 있/VX#53274; 다/EF#53275; ./SF#53276
16416	1868	Seed	온/MM#53353; 정성/NNG#53354; 을/JKO#53355; 다/MAG#53356; 하/XSV#53357	dir-explicit	Intention	POS	POS	High	`/SS#53290; 백송/NNG#53291; 회생/NNG#53292; 추진/NNG#53293; 위원회/NNG#53294; '/SS#53295	백송/NNG#53350; 살리기/NNG#53351		TRUE	8 개월째 밤낮 간호 통의동 주민 22 명으로 구성된 `백송 회생 추진위원회'는 이 나무를 살리기 위해 길에서 은행잎을 주워 모아 나무 주위를 덮고 콩깻묵을 잿물에 타 뿌리는가 하면 성금을 모아 월동준비를 했고 지금도 하루도 빠짐없이 백송 주변을 쓸어주며 백송살리기에 온 정성을 다하고 있다.	8/SN#53277; 개월/NNB#53278; 째/XSN#53279; 밤낮/NNG#53280; 간호/NNG#53281; 통의동/NNP#53282; 주민/NNG#53283; 22/SN#53284; 명/NNB#53285; 으로/JKB#53286; 구성/NNG#53287; 되/XSV#53288; ㄴ/ETM#53289; `/SS#53290; 백송/NNG#53291; 회생/NNG#53292; 추진/NNG#53293; 위원회/NNG#53294; '/SS#53295; 는/JX#53296; 이/MM#53297; 나무/NNG#53298; 를/JKO#53299; 살리/VV#53300; 기/ETN#53301; 위하/VV#53302; 아/EC#53303; 길/NNG#53304; 에서/JKB#53305; 은행/NNG#53306; 잎/NNG#53307; 을/JKO#53308; 줍/VV#53309; 어/EC#53310; 모으/VV#53311; 아/EC#53312; 나무/NNG#53313; 주위/NNG#53314; 를/JKO#53315; 덮/VV#53316; 고/EC#53317; 콩깻묵/NNG#53318; 을/JKO#53319; 잿물/NNG#53320; 에/JKB#53321; 타/VV#53322; 아/EC#53323; 뿌리/VV#53324; 는가/EC#53325; 하/VV#53326; 면/EC#53327; 성금/NNG#53328; 을/JKO#53329; 모으/VV#53330; 아/EC#53331; 월동/NNG#53332; 준비/NNG#53333; 를/JKO#53334; 하/VV#53335; 았/EP#53336; 고/EC#53337; 지금/NNG#53338; 도/JX#53339; 하루/NNG#53340; 도/JX#53341; 빠짐없이/MAG#53342; 백송/NNG#53343; 주변/NNG#53344; 을/JKO#53345; 쓸/VV#53346; 어/EC#53347; 주/VX#53348; 며/EC#53349; 백송/NNG#53350; 살리기/NNG#53351; 에/JKB#53352; 온/MM#53353; 정성/NNG#53354; 을/JKO#53355; 다/MAG#53356; 하/XSV#53357; 고/EC#53358; 있/VX#53359; 다/EF#53360; ./SF#53361
