tag_id	sent_id	tag type	morphemes	type	subjectivity-type	subjectivity-polarity	polarity	intensity	nested-source	target	comment	confident	raw-sentence	sentence-morph
11987	9130	ObjTag										TRUE	2000-10-05	2000/SN#270789; -/SS#270790; 10/SN#270791; -/SS#270792; 05/SN#270793
11988	9131	ObjTag										TRUE	12 면 01 판 1140자	12/SN#270794; 면/NNG#270795; 01/SN#270796; 판/NNG#270797; 1140/SN#270798; 자/NNG#270799
11989	9132	SubjTag					NEG	Medium				TRUE	'호류지 백제관음상 일본이 뺏어간 것'	'/SS#270800; 호류지/NNP#270801; 백제/NNP#270802; 관음상/NNG#270803; 일본/NNP#270804; 이/JKS#270805; 뺏/VV#270806; 어/EC#270807; 가/VX#270808; ㄴ/ETM#270809; 것/NNB#270810; '/SS#270811
12165	9132	Seed	일본/NNP#270804; 이/JKS#270805; 뺏/VV#270806; 어/EC#270807; 가/VX#270808	indirect	Judgment	NEG	NEG	Medium		호류지/NNP#270801; 백제/NNP#270802; 관음상/NNG#270803	new	TRUE	'호류지 백제관음상 일본이 뺏어간 것'	'/SS#270800; 호류지/NNP#270801; 백제/NNP#270802; 관음상/NNG#270803; 일본/NNP#270804; 이/JKS#270805; 뺏/VV#270806; 어/EC#270807; 가/VX#270808; ㄴ/ETM#270809; 것/NNB#270810; '/SS#270811
11990	9133	ObjTag										TRUE	일본 나라현의 고찰 호류지(법륭사)에 있는 백제관음보살상 (7세기 추정.사진)은 일본이 국보 1호로 지정할 만큼 최고의 보물이다.	일본/NNP#270812; 나라현/NNP#270813; 의/JKG#270814; 고찰/NNG#270815; 호류지/NNP#270816; (/SS#270817; 법륭사/NNP#270818; )/SS#270819; 에/JKB#270820; 있/VV#270821; 는/ETM#270822; 백제/NNP#270823; 관음보살/NNP#270824; 상/NNG#270825; (/SS#270826; 7/SN#270827; 세기/NNG#270828; 추정/NNG#270829; ./SF#270830; 사진/NNG#270831; )/SS#270832; 은/JX#270833; 일본/NNP#270834; 이/JKS#270835; 국보/NNG#270836; 1/SN#270837; 호/NNB#270838; 로/JKB#270839; 지정/NNG#270840; 하/XSV#270841; ㄹ/ETM#270842; 만큼/NNB#270843; 최고/NNG#270844; 의/JKG#270845; 보물/NNG#270846; 이/VCP#270847; 다/EF#270848; ./SF#270849
12001	9133	Seed	국보/NNG#270836; 1/SN#270837; 호/NNB#270838; 로/JKB#270839; 지정/NNG#270840	indirect	Judgment	POS	POS	High	일본/NNP#270834	백제/NNP#270823; 관음보살/NNP#270824; 상/NNG#270825		TRUE	일본 나라현의 고찰 호류지(법륭사)에 있는 백제관음보살상 (7세기 추정.사진)은 일본이 국보 1호로 지정할 만큼 최고의 보물이다.	일본/NNP#270812; 나라현/NNP#270813; 의/JKG#270814; 고찰/NNG#270815; 호류지/NNP#270816; (/SS#270817; 법륭사/NNP#270818; )/SS#270819; 에/JKB#270820; 있/VV#270821; 는/ETM#270822; 백제/NNP#270823; 관음보살/NNP#270824; 상/NNG#270825; (/SS#270826; 7/SN#270827; 세기/NNG#270828; 추정/NNG#270829; ./SF#270830; 사진/NNG#270831; )/SS#270832; 은/JX#270833; 일본/NNP#270834; 이/JKS#270835; 국보/NNG#270836; 1/SN#270837; 호/NNB#270838; 로/JKB#270839; 지정/NNG#270840; 하/XSV#270841; ㄹ/ETM#270842; 만큼/NNB#270843; 최고/NNG#270844; 의/JKG#270845; 보물/NNG#270846; 이/VCP#270847; 다/EF#270848; ./SF#270849
12002	9133	Seed	최고/NNG#270844; 의/JKG#270845; 보물/NNG#270846	indirect	Judgment	POS	POS	High		백제/NNP#270823; 관음보살/NNP#270824; 상/NNG#270825		TRUE	일본 나라현의 고찰 호류지(법륭사)에 있는 백제관음보살상 (7세기 추정.사진)은 일본이 국보 1호로 지정할 만큼 최고의 보물이다.	일본/NNP#270812; 나라현/NNP#270813; 의/JKG#270814; 고찰/NNG#270815; 호류지/NNP#270816; (/SS#270817; 법륭사/NNP#270818; )/SS#270819; 에/JKB#270820; 있/VV#270821; 는/ETM#270822; 백제/NNP#270823; 관음보살/NNP#270824; 상/NNG#270825; (/SS#270826; 7/SN#270827; 세기/NNG#270828; 추정/NNG#270829; ./SF#270830; 사진/NNG#270831; )/SS#270832; 은/JX#270833; 일본/NNP#270834; 이/JKS#270835; 국보/NNG#270836; 1/SN#270837; 호/NNB#270838; 로/JKB#270839; 지정/NNG#270840; 하/XSV#270841; ㄹ/ETM#270842; 만큼/NNB#270843; 최고/NNG#270844; 의/JKG#270845; 보물/NNG#270846; 이/VCP#270847; 다/EF#270848; ./SF#270849
11991	9134	SubjTag					POS	Medium				TRUE	그 부드러운 미소와 11등신의 날씬한 자태 때문에 서구의 미술사학자들이 '몸을 얼어붙게 만드는 신비의 조각'이라고 극찬을 아끼지 않고 있는 이 관음상은 한-일 미술사학계에서도 첨예한 논쟁의 대상이기도 하다.	그/MM#270850; 부드럽/VA#270851; ㄴ/ETM#270852; 미소/NNG#270853; 와/JC#270854; 11/SN#270855; 등신/NNG#270856; 의/JKG#270857; 날씬/XR#270858; 하/XSA#270859; ㄴ/ETM#270860; 자태/NNG#270861; 때문/NNB#270862; 에/JKB#270863; 서구/NNG#270864; 의/JKG#270865; 미술사/NNG#270866; 학자/NNG#270867; 들/XSN#270868; 이/JKS#270869; '/SS#270870; 몸/NNG#270871; 을/JKO#270872; 얼어붙/VV#270873; 게/EC#270874; 만들/VV#270875; 는/ETM#270876; 신비/NNG#270877; 의/JKG#270878; 조각/NNG#270879; '/SS#270880; 이라고/JKQ#270881; 극찬/NNG#270882; 을/JKO#270883; 아끼/VV#270884; 지/EC#270885; 않/VX#270886; 고/EC#270887; 있/VX#270888; 는/ETM#270889; 이/MM#270890; 관음상/NNG#270891; 은/JX#270892; 한/NNP#270893; -/SS#270894; 일/NNP#270895; 미술사학/NNG#270896; 계/XSN#270897; 에서/JKB#270898; 도/JX#270899; 첨예/XR#270900; 하/XSA#270901; ㄴ/ETM#270902; 논쟁/NNG#270903; 의/JKG#270904; 대상/NNG#270905; 이/VCP#270906; 기/ETN#270907; 도/JX#270908; 하/VX#270909; 다/EF#270910; ./SF#270911
12003	9134	Seed	부드럽/VA#270851	indirect	Judgment	POS	POS	Medium		미소/NNG#270853		TRUE	그 부드러운 미소와 11등신의 날씬한 자태 때문에 서구의 미술사학자들이 '몸을 얼어붙게 만드는 신비의 조각'이라고 극찬을 아끼지 않고 있는 이 관음상은 한-일 미술사학계에서도 첨예한 논쟁의 대상이기도 하다.	그/MM#270850; 부드럽/VA#270851; ㄴ/ETM#270852; 미소/NNG#270853; 와/JC#270854; 11/SN#270855; 등신/NNG#270856; 의/JKG#270857; 날씬/XR#270858; 하/XSA#270859; ㄴ/ETM#270860; 자태/NNG#270861; 때문/NNB#270862; 에/JKB#270863; 서구/NNG#270864; 의/JKG#270865; 미술사/NNG#270866; 학자/NNG#270867; 들/XSN#270868; 이/JKS#270869; '/SS#270870; 몸/NNG#270871; 을/JKO#270872; 얼어붙/VV#270873; 게/EC#270874; 만들/VV#270875; 는/ETM#270876; 신비/NNG#270877; 의/JKG#270878; 조각/NNG#270879; '/SS#270880; 이라고/JKQ#270881; 극찬/NNG#270882; 을/JKO#270883; 아끼/VV#270884; 지/EC#270885; 않/VX#270886; 고/EC#270887; 있/VX#270888; 는/ETM#270889; 이/MM#270890; 관음상/NNG#270891; 은/JX#270892; 한/NNP#270893; -/SS#270894; 일/NNP#270895; 미술사학/NNG#270896; 계/XSN#270897; 에서/JKB#270898; 도/JX#270899; 첨예/XR#270900; 하/XSA#270901; ㄴ/ETM#270902; 논쟁/NNG#270903; 의/JKG#270904; 대상/NNG#270905; 이/VCP#270906; 기/ETN#270907; 도/JX#270908; 하/VX#270909; 다/EF#270910; ./SF#270911
12004	9134	Seed	11/SN#270855; 등신/NNG#270856; 의/JKG#270857; 날씬/XR#270858; 하/XSA#270859	indirect	Judgment	POS	POS	Medium		자태/NNG#270861		TRUE	그 부드러운 미소와 11등신의 날씬한 자태 때문에 서구의 미술사학자들이 '몸을 얼어붙게 만드는 신비의 조각'이라고 극찬을 아끼지 않고 있는 이 관음상은 한-일 미술사학계에서도 첨예한 논쟁의 대상이기도 하다.	그/MM#270850; 부드럽/VA#270851; ㄴ/ETM#270852; 미소/NNG#270853; 와/JC#270854; 11/SN#270855; 등신/NNG#270856; 의/JKG#270857; 날씬/XR#270858; 하/XSA#270859; ㄴ/ETM#270860; 자태/NNG#270861; 때문/NNB#270862; 에/JKB#270863; 서구/NNG#270864; 의/JKG#270865; 미술사/NNG#270866; 학자/NNG#270867; 들/XSN#270868; 이/JKS#270869; '/SS#270870; 몸/NNG#270871; 을/JKO#270872; 얼어붙/VV#270873; 게/EC#270874; 만들/VV#270875; 는/ETM#270876; 신비/NNG#270877; 의/JKG#270878; 조각/NNG#270879; '/SS#270880; 이라고/JKQ#270881; 극찬/NNG#270882; 을/JKO#270883; 아끼/VV#270884; 지/EC#270885; 않/VX#270886; 고/EC#270887; 있/VX#270888; 는/ETM#270889; 이/MM#270890; 관음상/NNG#270891; 은/JX#270892; 한/NNP#270893; -/SS#270894; 일/NNP#270895; 미술사학/NNG#270896; 계/XSN#270897; 에서/JKB#270898; 도/JX#270899; 첨예/XR#270900; 하/XSA#270901; ㄴ/ETM#270902; 논쟁/NNG#270903; 의/JKG#270904; 대상/NNG#270905; 이/VCP#270906; 기/ETN#270907; 도/JX#270908; 하/VX#270909; 다/EF#270910; ./SF#270911
